player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0035261,Tony Pollard,2023,2024,0,0.6934782608695652,319,252,67,3.988095238095238,0.6978056426332289,-0.1613946868007649,1,0.706111111111111,26.0,4.0,128.0,17,13.094117647058823,23.0,1.0,4.52,35.0,121.0,,,210.0
00-0035311,Myles Gaskin,2019,2020,1,0.1509433962264151,48,36,12,3.6944444444444446,0.6541666666666667,,0,0.2428571428571428,22.0,0.0,300.0,7,4.485714285714286,75.0,4.0,4.58,35.5,118.0,7.19,4.27,205.0
00-0035311,Myles Gaskin,2020,2021,0,0.48711340206185566,189,142,47,4.112676056338028,0.8687830687830688,0.1387639176535344,1,0.697,23.0,1.0,234.0,10,16.419999999999998,11.0,1.0,4.58,35.5,118.0,7.19,4.27,205.0
00-0035342,Patrick Laird,2019,2020,0,0.2893081761006289,92,62,30,2.7096774193548385,0.741304347826087,,0,,24.0,0.0,300.0,8,8.525,47.0,2.0,,,,,,
00-0035537,Ty Johnson,2019,2020,0,0.2379746835443038,94,63,31,4.333333333333333,0.6404255319148936,,0,0.285625,21.0,0.0,186.0,15,4.013333333333333,80.0,2.0,,,,,,
00-0035537,Ty Johnson,2020,2021,0,0.18686868686868688,74,54,20,4.703703703703703,0.8554054054054053,,0,0.2192307692307692,22.0,1.0,186.0,9,7.033333333333333,57.0,3.0,,,,,,
00-0035537,Ty Johnson,2021,2022,0,0.27751196172248804,116,61,55,3.901639344262295,1.0086206896551724,,0,0.3975,23.0,2.0,186.0,15,7.8,56.0,2.0,,,,,,
00-0035537,Ty Johnson,2022,2023,0,0.125,54,30,24,5.333333333333333,0.7925925925925925,,0,0.1594117647058823,24.0,3.0,186.0,10,4.279999999999999,76.0,4.0,,,,,,
00-0035537,Ty Johnson,2023,2024,0,0.08149779735682819,37,30,7,4.4,0.8756756756756756,,0,0.1425,25.0,4.0,186.0,7,4.628571428571428,70.0,3.0,,,,,,
00-0035567,Craig Reynolds,2022,2023,0,0.06099815157116451,33,23,10,4.434782608695652,0.9333333333333333,,0,,26.0,3.0,300.0,6,5.133333333333334,70.0,4.0,,,,,,
00-0035567,Craig Reynolds,2023,2024,0,0.08487084870848709,46,41,5,4.365853658536586,0.6869565217391305,,0,0.1055,27.0,4.0,300.0,6,5.266666666666667,64.0,3.0,,,,,,
00-0035594,Travis Homer,2020,2021,0,0.09283819628647215,35,25,10,3.52,0.937142857142857,,0,0.2355555555555555,22.0,1.0,204.0,9,3.644444444444444,89.0,4.0,4.48,39.5,130.0,7.07,4.31,201.0
00-0035594,Travis Homer,2021,2022,0,0.11988304093567251,41,21,20,8.428571428571429,1.5073170731707317,,0,0.2142857142857142,23.0,2.0,204.0,12,5.15,79.0,4.0,4.48,39.5,130.0,7.07,4.31,201.0
00-0035628,D'Ernest Johnson,2020,2021,0,0.07489878542510121,37,33,4,5.03030303030303,0.5675675675675675,,0,0.07,24.0,1.0,300.0,8,2.625,96.0,3.0,,,,,,
00-0035628,D'Ernest Johnson,2023,2024,0,0.1185682326621924,53,41,12,2.6341463414634148,0.6566037735849056,,0,0.1658823529411764,27.0,4.0,300.0,15,2.32,88.0,3.0,,,,,,
00-0035657,Damien Harris,2020,2021,0,0.3356643356643357,144,137,7,5.043795620437956,0.6340277777777777,0.2897157663567919,1,0.4009999999999999,23.0,1.0,87.0,10,9.13,41.0,1.0,4.57,37.0,121.0,,,216.0
00-0035657,Damien Harris,2021,2022,0,0.47751605995717344,223,202,21,4.599009900990099,0.942152466367713,0.5657116371195935,1,0.4075,24.0,2.0,87.0,15,14.006666666666666,20.0,1.0,4.57,37.0,121.0,,,216.0
00-0035657,Damien Harris,2022,2023,0,0.30210772833723654,129,106,23,4.3584905660377355,0.7046511627906977,0.3154170600376422,1,0.3409090909090909,25.0,3.0,87.0,11,8.263636363636364,49.0,2.0,4.57,37.0,121.0,,,216.0
00-0035664,Darrell Henderson,2019,2020,0,0.11479591836734694,45,39,6,3.769230769230769,0.49777777777777776,,0,0.1123076923076923,22.0,0.0,70.0,7,3.2,88.0,3.0,4.49,33.5,121.0,,,208.0
00-0035664,Darrell Henderson,2020,2021,0,0.35604395604395606,162,138,24,4.521739130434782,0.8018518518518519,0.0116202760961594,1,0.336,23.0,1.0,70.0,15,8.66,46.0,1.0,4.49,33.5,121.0,,,208.0
00-0035664,Darrell Henderson,2021,2022,0,0.43953488372093025,189,149,40,4.617449664429531,0.8645502645502646,-0.3209437762999273,1,0.6392307692307693,24.0,2.0,70.0,12,13.616666666666667,22.0,2.0,4.49,33.5,121.0,,,208.0
00-0035685,David Montgomery,2019,2020,1,0.5782881002087683,277,242,35,3.6735537190082646,0.6151624548736462,-0.2235091901741371,1,0.578125,22.0,0.0,73.0,16,10.65,32.0,1.0,4.63,28.5,121.0,,,222.0
00-0035685,David Montgomery,2020,2021,0,0.7572115384615384,315,247,68,4.331983805668016,0.8406349206349206,0.2235760503458517,1,0.745,23.0,1.0,73.0,15,17.653333333333332,6.0,1.0,4.63,28.5,121.0,,,222.0
